time,action,isGCD,castTime
344.3609999999994,Gekko,1,0
346.50474999999943,Gyofu,1,0
347.05474999999944,Hissatsu: Shinten,0,0
348.6484999999994,Shifu,1,0
350.7922499999993,Kasha,1,0
352.93599999999924,Midare Setsugekka,1,1.3
354.34849999999926,Hissatsu: Shinten,0,0
355.07974999999925,Gyofu,1,0
355.62974999999926,Shoha,0,0
357.22349999999926,Yukikaze,1,0
359.3672499999993,Higanbana,1,1.3
361.5109999999993,Gyofu,1,0
362.0609999999993,Hissatsu: Shinten,0,0
363.6547499999993,Yukikaze,1,0
364.20474999999925,Meikyo Shisui,0,0
364.75474999999926,True North,0,0
365.79849999999925,Gekko,1,0
366.34849999999926,Tengentsu,0,0
366.8984999999992,Pop Tengentsu,0,0
367.9422499999992,Kasha,1,0
368.49224999999916,Hissatsu: Shinten,0,0
370.08599999999916,Kaeshi: Setsugekka,1,0
371.39849999999944,Ikishoten,0,0
372.22974999999917,Tendo Setsugekka,1,1.3
373.64224999999914,Hissatsu: Senei,0,0
374.3734999999991,Gekko,1,0
374.92349999999914,Zanshin,0,0
376.5172499999991,Tendo Kaeshi Setsugekka,1,0
378.6609999999991,Ogi Namikiri,1,1.3
380.0734999999991,Shoha,0,0
380.8047499999991,Kaeshi: Namikiri,1,0
382.9484999999991,Gyofu,1,0
385.0922499999992,Yukikaze,1,0
387.23599999999914,Gyofu,1,0
389.3797499999992,Shifu,1,0
389.9297499999992,Hissatsu: Shinten,0,0
391.5234999999992,Kasha,1,0
393.6672499999992,Midare Setsugekka,1,1.3
395.0797499999992,Tengentsu,0,0
395.6297499999992,Pop Tengentsu,0,0
395.8109999999992,Gyofu,1,0
396.3609999999992,Hissatsu: Shinten,0,0
401.76500000000107,Kaeshi: Setsugekka,1,0
403.9087500000011,Yukikaze,1,0
406.0525000000011,Gyofu,1,0
408.19625000000104,Higanbana,1,1.3
410.340000000001,Yukikaze,1,0
411.03500000000093,Meikyo Shisui,0,0
412.483750000001,Gekko,1,0
413.12800000000107,Hissatsu: Shinten,0,0
414.627500000001,Kasha,1,0
416.771250000001,Tendo Setsugekka,1,1.3
418.18375000000094,Shoha,0,0
418.91500000000093,Gekko,1,0
419.540000000001,Hissatsu: Shinten,0,0
421.0587500000009,Gyofu,1,0
423.20250000000084,Yukikaze,1,0
425.3462500000009,Gyofu,1,0
425.9860000000011,Hissatsu: Shinten,0,0
427.4900000000009,Shifu,1,0
429.6337500000009,Kasha,1,0
431.7775000000008,Tendo Kaeshi Setsugekka,1,0
433.92125000000084,Midare Setsugekka,1,1.3
435.33375000000086,Hissatsu: Senei,0,0
436.06500000000085,Gyofu,1,0
438.2087500000008,Yukikaze,1,0
